index,DOI,SMILES
53,10.1039/c5ta00016e,CCCC[C@H](CN1C(=O)/C(=C/2\c3sc(cc3N(C2=O)C[C@H](CCCC)CC)c2occ3c2cccc3)/c2c1cc(s2)c1occ2c1cccc2)CC
54,10.1016/j.matchemphys.2015.07.024,c1csc(c1)/C=C/c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)/C=C/c1cccs1)c1ccc(cc1)c1ccc(s1)/C=C/c1cccs1
56,10.1016/j.matchemphys.2015.07.024,CCN1C(=S)N(CC)C(=O)C(=Cc2ccc(s2)c2ccc(cc2)N(c2ccc(cc2)c2ccc(s2)C=C2C(=O)N(CC)C(=S)N(C2=O)CC)c2ccc(cc2)c2ccc(s2)C=C2C(=O)N(CC)C(=S)N(C2=O)CC)C1=O
58,10.1016/j.matchemphys.2015.07.024,CCCC[C@H](COC(=O)/C(=C/c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)OC[C@@H](CCCC)CC)\C#N)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)OC[C@@H](CCCC)CC)\C#N)/C#N)CC
60,10.1039/c8ta11420j,CCCC[C@H](Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C/1\SC(=S)N(C1=O)CC(=O)OC[C@H](CCCC)CC)CCCCCCCC)c1ccc(s1)C[C@@H](CCCC)CC)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C/1\SC(=S)N(C1=O)CC(=O)OC[C@H](CCCC)CC)CCCCCCCC)CC
61,10.1021/acsami.5b05248,CCCC[C@@H](Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)F)C[C@H](CCCC)CC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)F)C[C@H](CCCC)CC)CC
62,10.1021/acsami.5b05248,CCCC[C@@H](Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)C(F)(F)F)C[C@H](CCCC)CC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)C(F)(F)F)C[C@H](CCCC)CC)CC
63,10.1002/cssc.201402994,CCCCCCc1ccc(cc1)C#Cc1c2ccccc2c(c2c1cc(cc2)c1ccc2c(c1)cccc2)C#Cc1ccc(cc1)CCCCCC
64,10.1002/cssc.201402994,CCCCCCc1ccc(cc1)C#Cc1c2ccccc2c(c2c1cc(cc2)c1ccc(s1)c1ccc2c(c1)cccc2)C#Cc1ccc(cc1)CCCCCC
65,10.1039/c4ra10923f,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc(s1)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc(cc1)c1ccccc1)C#N
66,10.1039/c5ra16812k,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1c(C)cc(cc1C)C)c(=O)n(c2c1ccc(s1)c1c(C)cc(cc1C)C)C[C@H](CCCC)CC)CC
67,10.1039/c5ra16812k,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1ccc(cc1C)OC(C)C)c(=O)n(c2c1ccc(s1)c1ccc(cc1C)OC(C)C)C[C@H](CCCC)CC)CC
68,10.1039/c5ra16812k,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1ccc(c(c1OC)OC)OC)c(=O)n(c2c1ccc(s1)c1ccc(c(c1OC)OC)OC)C[C@H](CCCC)CC)CC
69,10.1039/c5ra16812k,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)c(=O)n(c2c1ccc(s1)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)C[C@H](CCCC)CC)CC
70,10.1039/c5ta03463a,CCCCCCCCOc1cccc(c1C1=C2CCC3N2[Zn@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3C#Cc2sc(c(c2)CCCCCCCC)c2ccc(s2)c2sc(cc2CCCCCCCC)/C=C\2/SC(=S)N(C2=O)CC)cc1)c1c(OCCCCCCCC)cccc1OCCCCCCCC)C#Cc1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CC)OCCCCCCCC
71,10.1016/j.orgel.2015.07.014,CCCC[C@H](Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)CC
72,10.1016/j.orgel.2015.07.014,CCCC[C@H](COc1c2sc(cc2c(c2c1cc(s2)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)OC[C@H](CCCC)CC)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)CC
